year,rank,partner_country,trade_value_usd,share_of_total_import_pct
2014,1,"Other Asia, nes",2207750958,22.80547087
2014,2,Japan,1745247924,18.02793949
2014,3,USA,1314583260,13.57928988
2014,4,China,816074122,8.42982518
2014,5,Singapore,763802854,7.889877105
2014,6,Rep. of Korea,662296959,6.841348636
2014,7,Malaysia,639332421,6.604131164
2014,8,Philippines,449906025,4.647407675
2014,9,Thailand,264567720,2.732913062
2014,10,Germany,195495175,2.019412336
2014,11,United Kingdom,153259092,1.58312501
2014,12,Netherlands,133958330,1.383753354
2014,13,Canada,67479559,0.697045612
2014,14,Costa Rica,43650479,0.450897654
2014,15,"China, Hong Kong SAR",42095054,0.434830534
2015,1,"Other Asia, nes",2465589564,26.25822967
2015,2,Japan,1375237342,14.64611081
2015,3,USA,1296994231,13.81283117
2015,4,China,887077163.8,9.447264151
2015,5,Singapore,702711857.8,7.483796014
2015,6,Rep. of Korea,623233614.2,6.637362365
2015,7,Malaysia,514979538.4,5.484469594
2015,8,Philippines,407423004.9,4.339005563
2015,9,Thailand,360653581.1,3.840916875
2015,10,Germany,175225680,1.866132229
2015,11,United Kingdom,152635976.1,1.625554623
2015,12,Netherlands,140548097.8,1.496820186
2015,13,Canada,65687717.14,0.699566217
2015,14,Viet Nam,36850985.78,0.392458527
2015,15,France,30864276.97,0.328700804
2016,1,"Other Asia, nes",2280655915,24.18925738
2016,2,USA,1428074796,15.14654997
2016,3,Japan,1398864397,14.83673653
2016,4,China,859236433.8,9.11329548
2016,5,Singapore,800162961.3,8.486746151
2016,6,Malaysia,608250552.7,6.451270912
2016,7,Rep. of Korea,551163565.5,5.845790789
2016,8,Philippines,481413254.1,5.106000001
2016,9,Thailand,310490863.9,3.29315061
2016,10,United Kingdom,161266667.7,1.71043817
2016,11,Germany,159727478.8,1.694113114
2016,12,Netherlands,121868885.8,1.292574572
2016,13,Canada,53707481.45,0.569636166
2016,14,Viet Nam,41672806.61,0.441993129
2016,15,France,31017791.71,0.328983141
2017,1,"Other Asia, nes",2981502437,26.76063934
2017,2,Japan,1742223362,15.63742174
2017,3,USA,1538607781,13.80985888
2017,4,Singapore,846538733.1,7.598155025
2017,5,China,841607642,7.553895745
2017,6,Malaysia,772459256.4,6.933250602
2017,7,Rep. of Korea,762391175.9,6.842883991
2017,8,Philippines,490698006.8,4.404286987
2017,9,Thailand,329336706.7,2.95597975
2017,10,United Kingdom,230052979.4,2.064853188
2017,11,Germany,167308189.6,1.501683871
2017,12,Netherlands,129014713.2,1.157978664
2017,13,Canada,56059086.71,0.50316142
2017,14,Viet Nam,42135914.84,0.378193224
2017,15,France,40172412.55,0.360569701
2018,1,"Other Asia, nes",3395166875,28.74054403
