typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","0","W00","World","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","9680795326",,"9680795326","0","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","20","AND","Andorra","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false","74","true",,"false","60938",,"60938","4","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","6379363",,"6379363","0","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","40","AUT","Austria","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","14132941",,"14132941","0","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","50","BGD","Bangladesh","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"true",,"false","26",,"26","4","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","56","BEL","Belgium","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","11353006",,"11353006","0","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","76","BRA","Brazil","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","607447",,"607447","0","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","84","BLZ","Belize","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"true",,"false","10",,"10","4","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","96","BRN","Brunei Darussalam","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","3980",,"3980","0","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","100","BGR","Bulgaria","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","132883",,"132883","0","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","104","MMR","Myanmar","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","26",,"26","0","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","116","KHM","Cambodia","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","3063",,"3063","0","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","124","CAN","Canada","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","67479559",,"67479559","0","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","136","CYM","Cayman Isds","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","8347",,"8347","0","true","false",
